ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,County Number [Public School] 2017-18,County Name [Public School] 2017-18,School Type [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,State School ID [Public School] 2017-18,State Agency ID [Public School] 2017-18,Virtual School Status (SY 2016-17 onward) [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,Prekindergarten Students [Public School] 2017-18,Kindergarten Students [Public School] 2017-18,Grade 1 Students [Public School] 2017-18,Grade 2 Students [Public School] 2017-18,Grade 3 Students [Public School] 2017-18,Grade 4 Students [Public School] 2017-18,Grade 5 Students [Public School] 2017-18,Grade 6 Students [Public School] 2017-18,Grade 7 Students [Public School] 2017-18,Grade 8 Students [Public School] 2017-18,Grade 9 Students [Public School] 2017-18,Grade 10 Students [Public School] 2017-18,Grade 11 Students [Public School] 2017-18,Grade 12 Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18
A C JONES H S,Texas,480972000442,48025,Bee County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-013901-013901001,TX-013901,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),1033,593,="0",593,†,1033,†,†,†,†,†,†,†,†,†,†,294,265,261,213,531,502,="0",7,838,33,143,1,11,1033,69.31
A E BUTLER INT,Texas,483624004074,48231,Hunt County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-116908-116908101,TX-116908,NOTVIRTUAL,Yes participating without using any Provision or the CEO,559,338,38,376,559,†,†,†,†,†,183,189,187,†,†,†,†,†,†,†,271,288,5,2,145,8,384,1,14,559,34.50
A G ELDER EL,Texas,482493006126,48251,Johnson County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-126905-126905103,TX-126905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,527,282,60,342,417,†,40,70,79,87,85,81,85,†,†,†,†,†,†,†,288,239,1,2,194,4,314,4,8,527,36.96
A LEAL JR MIDDLE,Texas,482247002251,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015904-015904042,TX-015904,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),822,750,="0",750,822,†,†,†,†,†,†,†,†,277,281,264,†,†,†,†,413,409,="0",="0",814,3,4,="0",1,822,59.17
A M OCHOA EL,Texas,481739001496,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108902-108902104,TX-108902,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),439,384,="0",384,357,†,36,46,66,61,84,75,71,†,†,†,†,†,†,†,230,209,="0",="0",435,1,3,="0",="0",439,26.85
A M PATE EL,Texas,481970001898,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-220905-220905153,TX-220905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),522,465,13,478,402,†,57,63,80,72,94,77,79,†,†,†,†,†,†,†,286,236,5,3,100,393,10,1,10,522,33.80
A N RICO EL,Texas,484496007002,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108913-108913113,TX-108913,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),819,707,="0",707,653,†,57,109,136,132,132,131,122,†,†,†,†,†,†,†,407,412,="0",="0",816,="0",3,="0",="0",819,46.45
A P BEUTEL EL,Texas,481119000580,48039,Brazoria County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-020905-020905102,TX-020905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,620,201,19,220,464,†,51,105,104,127,114,119,†,†,†,†,†,†,†,†,320,300,3,17,256,20,309,="0",15,620,37.07
A P SOLIS MIDDLE,TEXAS,481739017037,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108902-108902045,TX-108902,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),842,738,="0",738,842,†,†,†,†,†,†,†,†,268,295,279,†,†,†,†,438,404,="0",="0",839,1,2,="0",="0",842,80.71
A V CATO EL,Texas,481317000815,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-220917-220917101,TX-220917,NOTVIRTUAL,Yes participating without using any Provision or the CEO,721,571,56,627,549,†,76,96,92,103,97,117,140,†,†,†,†,†,†,†,366,355,="0",="0",503,14,188,="0",16,721,41.10
A+ ACADEMY EL,Texas,480020308758,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057829-057829001,TX-057829,NOTVIRTUAL,Yes under Provision 2,794,585,92,677,606,†,103,85,80,101,99,110,108,108,†,†,†,†,†,†,389,405,3,2,702,33,45,="0",9,794,37.61
A+ SECONDARY SCHOOL,TEXAS,480020313579,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057829-057829002,TX-057829,NOTVIRTUAL,Yes under Provision 2,554,399,47,446,212,342,†,†,†,†,†,†,†,†,106,106,103,93,76,70,272,282,="0",="0",518,15,15,="0",6,554,37.60
A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,TEXAS,480145313374,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101871-101871041,TX-101871,NOTVIRTUAL,No,67,15,4,19,67,†,†,†,†,†,†,†,†,20,29,18,†,†,†,†,48,19,1,="0",25,22,16,="0",3,67,3.00
A+ UNLIMITED POTENTIAL - UNIVERSITY,TEXAS,480145313369,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101871-101871102,TX-101871,NOTVIRTUAL,No,88,46,7,53,88,†,†,†,†,†,†,†,†,43,29,16,†,†,†,†,46,42,="0",1,19,66,="0",="0",2,88,2.95
AARON PARKER EL,Texas,483301003665,48277,Lamar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-139911-139911102,TX-139911,NOTVIRTUAL,Yes participating without using any Provision or the CEO,234,139,13,152,175,†,15,44,44,35,37,27,32,†,†,†,†,†,†,†,111,123,14,2,15,6,185,="0",12,234,20.97
AB HARRISON INT,Texas,484653007224,48085,Collin County,1-Regular school,†,2-No,6-Not a Title I school,TX-043914-043914042,TX-043914,NOTVIRTUAL,Yes participating without using any Provision or the CEO,701,126,45,171,701,†,†,†,†,†,†,†,343,358,†,†,†,†,†,†,347,354,5,48,115,108,401,="0",24,701,44.58
ABBETT EL,Texas,482034006706,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057909-057909143,TX-057909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,749,248,75,323,623,†,5,121,125,126,118,124,130,†,†,†,†,†,†,†,373,376,11,83,257,84,279,="0",35,749,44.38
ABBOTT SCHOOL,Texas,480738000006,48217,Hill County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-109901-109901001,TX-109901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,290,42,27,69,161,93,18,18,20,21,19,12,21,18,22,28,19,27,26,21,145,145,="0",="0",47,1,234,="0",8,290,23.12
ABELL J H,Texas,483057005118,48329,Midland County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-165901-165901047,TX-165901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1036,352,80,432,1036,†,†,†,†,†,†,†,†,†,530,506,†,†,†,†,529,507,4,21,587,97,303,1,23,1036,58.47
ABERNATHY DAEP,Texas,480741009626,48189,Hale County,4-Alternative/other school,†,2-No,6-Not a Title I school,TX-095901-095901003,TX-095901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,2,‡,‡,‡,†,2,†,†,†,†,†,†,†,†,†,†,1,1,†,†,2,="0",="0",="0",2,="0",="0",="0",="0",2,–
ABERNATHY EL,Texas,480741000007,48189,Hale County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-095901-095901101,TX-095901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,354,178,33,211,264,†,41,49,45,57,51,48,63,†,†,†,†,†,†,†,179,175,="0",1,212,4,133,="0",4,354,26.82
ABERNATHY H S,Texas,480741000008,48189,Hale County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-095901-095901001,TX-095901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,228,78,32,110,†,228,†,†,†,†,†,†,†,†,†,†,58,65,63,42,117,111,1,="0",135,1,88,="0",3,228,26.32
ABERNATHY MIDDLE,Texas,480741000009,48189,Hale County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-095901-095901041,TX-095901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,183,71,19,90,183,†,†,†,†,†,†,†,†,63,61,59,†,†,†,†,96,87,1,="0",98,2,82,="0",="0",183,14.85
ABILENE H S,Texas,480744000010,48441,Taylor County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-221901-221901001,TX-221901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,2137,1306,176,1482,†,2137,†,†,†,†,†,†,†,†,†,†,658,560,482,437,1011,1126,6,30,1008,316,714,1,62,2137,138.12
ABOUT FACE JJAEP,Texas,481830012491,48141,El Paso County,4-Alternative/other school,†,†,†,TX-071902-071902180,TX-071902,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
ABOUT FACE PROGRAM EL,Texas,481830010643,48141,El Paso County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071902-071902171,TX-071902,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),10,8,="0",8,10,†,†,†,1,1,2,2,4,†,†,†,†,†,†,†,7,3,="0",="0",8,="0",1,="0",1,10,2.59
ABRAHAM KAZEN MIDDLE,Texas,484068005591,48029,Bexar County,1-Regular school,†,†,†,TX-015908-015908043,TX-015908,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
ACADEMIC BEHAVIOR SCHOOL EAST,Texas,480026110705,48201,Harris County,4-Alternative/other school,†,†,†,TX-101000-101000003,TX-101000,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
ACADEMIC BEHAVIOR SCHOOL WEST,Texas,480026110706,48201,Harris County,4-Alternative/other school,†,†,†,TX-101000-101000004,TX-101000,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
ACADEMY AT CARRIE F THOMAS,Texas,481023000486,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-220902-220902116,TX-220902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,627,413,62,475,507,†,23,97,104,97,104,102,100,†,†,†,†,†,†,†,323,304,6,17,281,92,196,8,27,627,41.34
ACADEMY AT NOLA DUNN,Texas,481218008856,48251,Johnson County,1-Regular school,†,2-No,6-Not a Title I school,TX-126902-126902101,TX-126902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,669,54,22,76,553,†,5,111,111,110,110,110,112,†,†,†,†,†,†,†,354,315,5,4,84,16,539,1,20,669,40.87
ACADEMY EL,TEXAS,480747013381,48027,Bell County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-014901-014901102,TX-014901,NOTVIRTUAL,Yes under Provision 2,386,124,39,163,226,†,44,116,115,111,†,†,†,†,†,†,†,†,†,†,194,192,1,5,83,17,266,1,13,386,24.25
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,Texas,480744012452,48441,Taylor County,1-Regular school,†,2-No,6-Not a Title I school,TX-221901-221901010,TX-221901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,357,137,48,185,†,357,†,†,†,†,†,†,†,†,†,†,106,79,96,76,222,135,4,7,137,19,179,="0",11,357,21.74
ACADEMY H S,Texas,480747000040,48027,Bell County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-014901-014901001,TX-014901,NOTVIRTUAL,Yes under Provision 2,453,117,29,146,†,453,†,†,†,†,†,†,†,†,†,†,110,125,108,110,257,196,2,5,89,20,320,1,16,453,32.51
ACADEMY INT,Texas,480747000039,48027,Bell County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-014901-014901101,TX-014901,NOTVIRTUAL,Yes under Provision 2,376,127,38,165,376,†,†,†,†,†,140,127,109,†,†,†,†,†,†,†,192,184,3,4,80,24,250,1,14,376,22.99
ACADEMY J H,Texas,480747006348,48027,Bell County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-014901-014901041,TX-014901,NOTVIRTUAL,Yes under Provision 2,344,117,20,137,344,†,†,†,†,†,†,†,†,120,120,104,†,†,†,†,179,165,5,3,71,23,230,1,11,344,22.55
ACADEMY JJAEP,Texas,480747010395,48027,Bell County,4-Alternative/other school,†,†,†,TX-014901-014901042,TX-014901,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
ACADEMY OF ACCELERATED LEARNING,Texas,480003208585,48201,Harris County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101810-101810002,TX-101810,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),715,702,="0",702,467,†,145,103,110,99,101,89,68,†,†,†,†,†,†,†,341,374,11,11,419,267,3,="0",4,715,41.95
ACADEMY OF CHOICE,Texas,484110012995,48201,Harris County,4-Alternative/other school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-101920-101920016,TX-101920,NOTVIRTUAL,Yes participating without using any Provision or the CEO,187,125,="0",125,44,143,†,†,†,†,†,†,†,34,6,4,22,28,26,67,88,99,="0",3,139,19,21,="0",5,187,26.18
ACADEMY OF CREATIVE ED,Texas,483294021107,48029,Bexar County,4-Alternative/other school,†,2-No,6-Not a Title I school,TX-015910-015910008,TX-015910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,124,52,4,56,†,124,†,†,†,†,†,†,†,†,†,†,†,2,63,59,71,53,="0",2,75,8,38,="0",1,124,10.06
ACADEMY OF DALLAS,Texas,480009008161,48113,Dallas County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057810-057810101,TX-057810,NOTVIRTUAL,Yes participating without using any Provision or the CEO,432,414,7,421,271,†,125,36,44,30,25,27,26,50,33,36,†,†,†,†,226,206,="0",="0",106,323,2,="0",1,432,24.67
ACCELERATED INT CHARTER SCHOOL,Texas,480019208593,48201,Harris County,1-Regular school,†,†,†,TX-101849-101849041,TX-101849,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
ACCELERATED INTERDISCIPLINARY ACAD,Texas,480019210716,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101849-101849101,TX-101849,NOTVIRTUAL,No,259,236,12,248,188,†,41,30,36,37,38,22,30,25,†,†,†,†,†,†,110,149,1,4,113,138,3,="0",="0",259,18.81
ACCELERATED LEARNING CENTER,Texas,480002508343,48355,Nueces County,4-Alternative/other school,†,†,†,TX-178801-178801101,TX-178801,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),="0",–,–,–,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",5.00
ACHIEVE ACADEMY,Texas,484653011178,48085,Collin County,4-Alternative/other school,1-Yes,1-Yes,5-Title I schoolwide school,TX-043914-043914004,TX-043914,NOTVIRTUAL,Yes participating without using any Provision or the CEO,135,38,7,45,5,130,†,†,1,="0",="0",="0",="0",1,1,2,11,35,48,36,89,46,1,2,40,11,72,1,8,135,14.80
ACHIEVE EARLY COLLEGE H S,Texas,482967011859,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108906-108906011,TX-108906,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),491,359,="0",359,†,491,†,†,†,†,†,†,†,†,†,†,173,113,122,83,183,308,="0",9,476,="0",5,="0",1,491,23.25
ACHZIGER EL,Texas,483039012089,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057914-057914132,TX-057914,NOTVIRTUAL,Yes participating without using any Provision or the CEO,971,593,99,692,762,†,86,123,140,140,148,148,186,†,†,†,†,†,†,†,492,479,10,12,651,183,95,1,19,971,55.85
ACTON EL,Texas,482139002139,48221,Hood County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-111901-111901102,TX-111901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,854,330,44,374,697,†,36,121,134,123,162,142,136,†,†,†,†,†,†,†,456,398,3,3,137,11,682,5,13,854,44.76
ACTON MIDDLE,Texas,482139004811,48221,Hood County,1-Regular school,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,TX-111901-111901042,TX-111901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,846,237,58,295,846,†,†,†,†,†,†,†,†,297,290,259,†,†,†,†,458,388,4,9,139,15,659,3,17,846,49.55
AD WHEAT MIDDLE,Texas,481431000921,48251,Johnson County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-126903-126903107,TX-126903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,687,440,55,495,687,†,†,†,†,†,†,†,†,241,240,206,†,†,†,†,362,325,4,3,340,24,286,10,20,687,55.77
ADA MAE FAUBION EL,Texas,482703003041,48491,Williamson County,1-Regular school,2-No,1-Yes,2-Title I targeted assistance school,TX-246913-246913102,TX-246913,NOTVIRTUAL,Yes participating without using any Provision or the CEO,480,137,40,177,343,†,76,61,64,63,66,74,76,†,†,†,†,†,†,†,241,239,3,25,130,24,272,3,23,480,36.96
ADAM EL,Texas,481611001178,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101907-101907107,TX-101907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,843,391,61,452,661,†,70,112,124,123,146,138,130,†,†,†,†,†,†,†,440,403,9,101,350,96,267,="0",20,843,54.00
ADAMS EL,Texas,481431000916,48251,Johnson County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-126903-126903101,TX-126903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,408,253,35,288,327,†,22,59,55,63,72,68,69,†,†,†,†,†,†,†,221,187,6,5,128,13,235,12,9,408,28.64
ADAMS EL,Texas,480870012797,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-220901-220901161,TX-220901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,817,602,78,680,604,†,104,109,94,115,100,106,102,87,†,†,†,†,†,†,410,407,5,109,319,297,72,2,13,817,51.32
ADAMS HILL EL,Texas,483312003687,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015915-015915123,TX-015915,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),515,406,="0",406,403,†,41,71,73,77,87,83,83,†,†,†,†,†,†,†,249,266,1,2,405,32,66,4,5,515,39.82
ADAMS J H,TEXAS,482517013655,48157,Fort Bend County,1-Regular school,†,†,†,TX-101914-101914056,TX-101914,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
ADAMS MIDDLE,Texas,480780000091,48249,Jim Wells County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-125901-125901043,TX-125901,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),731,610,="0",610,731,†,†,†,†,†,†,†,†,†,366,365,†,†,†,†,397,334,="0",="0",686,4,39,="0",2,731,45.83
ADELFA BOTELLO CALLEJO EL,Texas,481623012890,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057905-057905247,TX-057905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),663,627,6,633,497,†,74,92,94,107,86,108,102,†,†,†,†,†,†,†,330,333,="0",="0",547,98,14,="0",4,663,39.50
ADELLE TURNER EL,Texas,481623001375,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057905-057905219,TX-057905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),292,243,2,245,231,†,22,39,28,55,49,48,51,†,†,†,†,†,†,†,162,130,1,1,36,249,1,="0",4,292,20.53
ADKINS MIDDLE,Texas,481527012737,48355,Nueces County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-178904-178904057,TX-178904,NOTVIRTUAL,Yes participating without using any Provision or the CEO,678,407,30,437,678,†,†,†,†,†,†,†,†,235,225,218,†,†,†,†,341,337,1,24,491,23,135,1,3,678,36.27
ADMIN SERVICES,Texas,480783006350,48201,Harris County,4-Alternative/other school,†,2-No,6-Not a Title I school,TX-101903-101903199,TX-101903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,72,28,="0",28,22,27,23,="0",="0",="0",5,1,2,4,5,5,3,3,3,18,48,24,3,5,25,26,12,="0",1,72,16.65
ADRIAN SCHOOL,Texas,480750000042,48359,Oldham County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-180903-180903001,TX-180903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,120,53,17,70,63,50,5,2,6,8,7,6,6,7,10,13,14,12,9,15,52,68,="0",="0",66,="0",49,="0",5,120,17.60
