County #,County Name,District #,District Name,2004-2005 ADA,2005-2006 ADA,2006-2007 ADA,2007-2008 ADA,2008-2009 ADA,2009-2010 ADA,2010-2011 ADA,2011-2012 ADA,2012-2013 ADA,2013-2014 ADA,2014-2015 ADA,2015-2016 ADA,2016-2017 ADA,2017-2018 ADA,2018-2019 ADA,2019-2020 ADA,2020-2021 ADA
8,AUSTIN COUNTY,8901,BELLVILLE ISD,2075.85,2068.51,2057.72,2069.59,2031.06,2031.23,2022.28,2025.34,1984.15,2008.45,2045.03,2105.28,2133.55,2140.9,2105.32,2032.6,2057.614
8,AUSTIN COUNTY,8902,SEALY ISD,2352.16,2433.63,2454.75,2439.26,2475.34,2457.87,2456.37,2498.33,2521.81,2591.27,2617.94,2666.21,2636.03,2629.68,2583.57,2564.9,2582.362
8,AUSTIN COUNTY,8903,BRAZOS ISD,783.19,804.75,779.39,793.82,771.48,774.6,785.87,795.29,779.59,781.51,791.93,764.37,751.68,760.8,782.57,777.49,766.809
9,BAILEY COUNTY,9901,MULESHOE ISD,1411.96,1389.31,1385.67,1379.93,1349.96,1330.83,1375.85,1406.63,1380.15,1348.6,1333.15,1348.72,1356.53,1341.46,1306.43,1216.65,1204.291
10,BANDERA COUNTY,10901,MEDINA ISD,340.34,329.49,329.03,334.32,329.31,318.61,285.42,273.5,249.44,246.57,246.62,256.34,263.88,277.42,275.07,256.0,233.631
10,BANDERA COUNTY,10902,BANDERA ISD,2435.58,2372.52,2348.12,2332.08,2297.85,2316.53,2259.76,2228.97,2213.68,2159.57,2071.11,2043.03,2079.01,2073.73,2026.28,2016.41,2057.812
11,BASTROP COUNTY,11901,BASTROP ISD,7189.5,7381.19,7530.39,7832.42,8030.4,8174.83,8406.85,8453.76,8627.34,8848.36,9214.56,9529.25,9784.12,10052.34,10183.88,10153.25,10257.55
11,BASTROP COUNTY,11902,ELGIN ISD,2958.15,3085.88,3286.78,3423.95,3558.84,3651.98,3637.87,3730.1,3782.4,3863.77,3936.87,3968.26,3949.71,3977.38,4062.39,4043.21,4235.64
11,BASTROP COUNTY,11904,SMITHVILLE ISD,1712.58,1709.91,1644.08,1573.08,1594.05,1588.17,1616.67,1611.92,1658.56,1664.67,1659.73,1656.25,1630.25,1661.55,1671.0,1674.37,1625.49
11,BASTROP COUNTY,11905,MCDADE ISD,225.7,218.5,192.15,166.98,176.32,170.59,162.78,177.13,200.2,189.08,191.89,205.54,291.14,290.97,345.02,331.88,323.105
12,BAYLOR COUNTY,12901,SEYMOUR ISD,595.12,579.64,586.97,561.14,529.62,544.17,546.4,533.96,544.71,530.96,559.08,561.5,554.06,544.2,547.72,536.43,574.817
13,BEE COUNTY,13801,ST MARY'S ACADEMY CHARTER SCHOOL,215.47,215.36,266.61,288.1,308.45,318.74,342.52,382.84,403.73,418.57,422.46,419.56,430.58,429.43,407.24,384.48,365.196
13,BEE COUNTY,13901,BEEVILLE ISD,3367.57,3365.33,3286.5,3254.34,3264.01,3227.69,3218.92,3156.3,3106.51,3051.94,3088.53,3082.29,3022.42,2978.36,2967.77,2755.96,2723.228
13,BEE COUNTY,13902,PAWNEE ISD,134.39,130.1,127.73,122.11,116.97,125.37,146.15,141.15,142.58,142.92,149.11,207.11,186.02,187.49,248.3,315.38,293.043
13,BEE COUNTY,13903,PETTUS ISD,361.56,350.03,368.43,375.1,364.55,383.01,381.73,389.99,383.63,403.05,398.28,396.65,377.33,390.32,384.69,333.33,332.092
13,BEE COUNTY,13905,SKIDMORE-TYNAN ISD,668.53,711.03,728.46,706.08,693.34,769.37,771.13,775.66,766.01,754.91,764.86,798.37,781.32,784.57,780.78,765.62,734.673
14,BELL COUNTY,14801,RICHARD MILBURN ALTER HIGH SCHOOL,127.43,151.79,145.24,141.74,155.41,143.51,142.06,160.92,133.55,118.22,1446.01,1681.12,1871.13,1727.07,1568.86,1504.6,1226.53
14,BELL COUNTY,14802,TRANSFORMATIVE CHARTER ACADEMY,71.58,68.11,76.43,56.22,65.54,70.91,62.15,54.32,67.13,82.01,52.76,,,,,,
14,BELL COUNTY,14803,PRIORITY CHARTER SCHOOLS,112.13,89.67,77.21,113.82,150.03,141.78,148.33,227.51,381.76,772.39,840.46,870.33,727.64,805.08,693.8,689.52,752.274
14,BELL COUNTY,14804,ORENDA CHARTER SCHOOL,65.33,66.78,73.24,72.99,102.78,207.35,379.67,787.11,971.48,1152.74,1263.74,1321.94,1417.61,1570.16,1657.92,1717.23,1793.99
14,BELL COUNTY,14901,ACADEMY ISD,870.55,903.83,944.71,982.93,1039.2,1016.83,1051.62,1078.16,1120.03,1209.02,1282.52,1346.34,1433.82,1468.97,1559.88,1618.18,1675.565
14,BELL COUNTY,14902,BARTLETT ISD,416.99,393.71,372.24,354.38,364.23,354.07,342.85,362.66,384.58,360.62,350.71,339.92,343.51,316.14,323.52,334.24,353.022
14,BELL COUNTY,14903,BELTON ISD,6726.69,7053.47,7378.38,7720.74,7957.49,8288.03,8658.24,8914.78,9267.97,9672.65,9858.17,10158.07,10361.69,10762.23,11062.87,11133.21,11823.252
14,BELL COUNTY,14905,HOLLAND ISD,488.42,497.8,529.46,534.33,519.3,510.98,543.78,576.83,584.45,601.43,609.29,625.86,653.56,626.41,608.51,571.12,621.999
14,BELL COUNTY,14906,KILLEEN ISD,30984.2,31829.58,33595.3,34771.57,35248.43,35967.16,36540.55,37119.92,37400.79,37645.49,38386.94,39067.86,39574.04,39892.02,40540.11,39316.75,38795.672
14,BELL COUNTY,14907,ROGERS ISD,817.06,791.0,787.94,797.02,794.0,783.52,841.06,812.66,799.44,813.99,820.12,840.29,821.84,839.76,811.81,810.96,830.156
14,BELL COUNTY,14908,SALADO ISD,1112.74,1163.69,1171.25,1172.45,1243.03,1263.07,1276.58,1315.2,1300.52,1391.48,1469.03,1574.85,1673.11,1749.45,1843.41,1923.07,2029.835
14,BELL COUNTY,14909,TEMPLE ISD,7489.22,7586.19,7637.96,7702.31,7678.1,7768.05,7901.07,7898.98,7887.55,7790.75,7809.75,7794.28,7790.36,7790.48,7877.31,7491.35,7714.053
14,BELL COUNTY,14910,TROY ISD,1166.44,1166.71,1202.09,1205.19,1218.36,1200.4,1215.18,1270.81,1299.1,1339.79,1381.92,1392.62,1403.31,1419.98,1448.9,1416.11,1461.735
15,BEXAR COUNTY,15801,POR VIDA ACADEMY,302.47,283.16,256.43,283.73,275.33,255.23,248.32,243.43,223.87,216.02,265.07,240.17,207.65,195.87,199.82,171.24,126.907
15,BEXAR COUNTY,15802,GEORGE GERVIN ACADEMY,299.67,325.77,407.47,430.27,436.48,562.54,836.14,819.34,816.0,852.66,736.44,859.59,960.62,993.52,804.81,722.11,708.346
15,BEXAR COUNTY,15803,HIGGS CARTER KING GIFTED & TALENTE,164.92,219.68,246.59,340.06,394.03,412.83,447.43,519.53,472.58,408.26,378.03,,,,,,
15,BEXAR COUNTY,15805,NEW FRONTIERS PUBLIC SCHOOLS INC,588.18,579.49,592.63,552.81,568.31,572.47,584.1,583.06,593.58,589.14,641.03,675.07,696.96,657.56,573.6,495.84,440.429
15,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,1389.98,1629.43,2156.25,2465.92,2181.03,1722.09,1448.74,1439.17,1340.25,1197.5,991.54,929.11,723.69,588.87,556.55,372.02,298.043
15,BEXAR COUNTY,15807,SOUTHWEST PREPARATORY SCHOOL,839.76,926.11,867.66,811.22,627.55,649.28,562.89,381.07,425.06,563.6,766.85,759.76,796.86,759.6,857.9,802.4,740.217
15,BEXAR COUNTY,15808,INSPIRE ACADEMIES,449.76,254.68,245.52,240.44,353.38,348.22,557.28,511.64,545.25,495.52,760.44,768.71,797.23,821.47,806.98,740.95,550.714
15,BEXAR COUNTY,15809,BEXAR COUNTY ACADEMY,360.43,366.79,341.14,359.2,343.48,345.92,380.62,374.13,359.85,403.32,352.76,358.36,315.55,301.07,270.78,263.13,220.058
15,BEXAR COUNTY,15810,CAREER PLUS LEARNING ACADEMY,43.13,0.17,0.0,0.0,,,0.0,,,,,,,,,,
15,BEXAR COUNTY,15811,LA ESCUELA DE LAS AMERICAS,98.68,121.53,102.91,106.66,124.64,64.44,0.0,,,,,,,,,,
15,BEXAR COUNTY,15812,GEORGE I SANCHEZ CHARTER HS SAN AN,124.67,137.4,101.49,106.71,130.14,124.72,63.45,,,,,,,,,,
15,BEXAR COUNTY,15813,GUARDIAN ANGEL PERFORMANCE ARTS AC,10.43,15.09,7.01,5.95,11.39,10.53,0.0,,,,,,,,,,
15,BEXAR COUNTY,15814,POSITIVE SOLUTIONS CHARTER SCHOOL,232.27,161.01,109.96,125.47,131.27,143.06,114.57,119.55,121.29,127.33,117.92,118.86,103.8,82.04,102.14,103.46,100.471
15,BEXAR COUNTY,15815,HERITAGE ACADEMY,359.79,345.81,422.1,554.41,693.77,697.71,762.72,653.89,436.51,466.33,490.26,421.75,428.92,466.19,585.3,596.33,631.422
15,BEXAR COUNTY,15816,ACADEMY OF CAREERS AND TECHNOLOGIE,145.2,132.63,106.7,150.86,153.71,176.18,127.85,183.88,185.22,178.27,188.77,179.52,,,,,
15,BEXAR COUNTY,15817,SAN ANTONIO CAN HIGH SCHOOL,319.23,320.94,345.38,337.55,328.04,298.24,298.08,336.52,364.4,,,,,,,,
15,BEXAR COUNTY,15818,EAGLE ACADEMY OF SAN ANTONIO,118.68,112.87,,,,,,,,,,,,,,,
15,BEXAR COUNTY,15819,SHEKINAH RADIANCE ACADEMY,339.65,693.07,783.88,793.04,806.13,1003.14,968.75,796.87,780.94,667.6,594.79,388.05,,,,,
15,BEXAR COUNTY,15820,SAN ANTONIO SCHOOL FOR INQUIRY & C,176.82,187.38,227.55,261.79,246.11,335.49,356.56,381.36,400.43,376.87,402.03,395.47,458.84,,,,
15,BEXAR COUNTY,15822,JUBILEE ACADEMIES,408.21,409.32,436.77,500.26,608.42,636.29,854.96,1691.72,2170.14,2677.88,3867.83,4261.6,4451.47,5241.73,5469.13,5788.81,5707.898
15,BEXAR COUNTY,15823,SAN ANTONIO TECHNOLOGY ACADEMY,61.46,98.62,70.31,78.37,68.41,78.32,68.88,68.72,63.35,46.67,69.05,,,,,,
15,BEXAR COUNTY,15824,SAN ANTONIO PREPARATORY ACADEMY,137.96,177.7,217.0,236.49,691.46,678.21,627.71,0.0,,,,,,,,,
15,BEXAR COUNTY,15825,LIGHTHOUSE PUBLIC SCHOOLS,170.93,141.39,59.38,109.21,147.47,186.11,190.23,192.99,203.09,214.36,230.82,251.5,260.46,271.26,293.13,271.58,299.503
15,BEXAR COUNTY,15826,KIPP SAN ANTONIO,151.64,225.6,300.71,329.5,346.48,469.03,699.1,842.27,1156.28,1421.72,1831.56,2320.53,2790.18,3083.71,,,
15,BEXAR COUNTY,15827,SCHOOL OF SCIENCE AND TECHNOLOGY,,203.75,310.26,379.15,370.17,621.89,707.79,807.63,794.56,814.48,806.01,827.67,1186.35,1496.0,1708.17,2015.19,2999.355
15,BEXAR COUNTY,15828,HARMONY PUBLIC SCHOOLS - SOUTH TEX,,,276.16,352.89,539.28,702.04,863.71,1063.96,2024.64,2152.95,2997.49,3350.78,3476.52,4068.8,4226.06,3980.44,4215.822
15,BEXAR COUNTY,15829,GENERAL ALFRED A VALENZUELA INT LE,,,26.62,0.0,,,0.0,,,,,,,,,,
15,BEXAR COUNTY,15830,BROOKS ACADEMIES OF TEXAS,,,225.66,419.18,560.9,656.1,669.66,958.81,1141.99,1433.27,1651.55,1673.29,1858.6,2655.2,3018.06,2957.83,2847.986
15,BEXAR COUNTY,15831,SCHOOL OF SCIENCE AND TECHNOLOGY D,,,,,256.8,306.69,344.29,377.33,857.63,938.67,1030.77,1108.59,1452.46,1724.15,2172.54,2992.52,4409.121
15,BEXAR COUNTY,15832,CITY CENTER HEALTH CAREERS,,,,,,65.13,116.15,122.36,118.99,135.53,97.05,,,,,,
15,BEXAR COUNTY,15833,HENRY FORD ACADEMY ALAMEDA SCHOOL,,,,,,69.66,135.0,149.13,184.09,156.15,135.54,114.04,99.91,124.17,118.38,102.74,86.968
15,BEXAR COUNTY,15834,BASIS TEXAS,,,,,,,,,,468.2,1006.1,1246.51,1318.67,2314.15,2464.26,2445.0,2899.816
15,BEXAR COUNTY,15835,GREAT HEARTS TEXAS,,,,,,,,,,,551.25,1935.83,2220.42,2643.79,3437.54,4583.64,6428.828
15,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,,,,,,,,,,189.72,244.78,267.44,283.86,306.92,325.02,408.85,466.205
15,BEXAR COUNTY,15837,CARPE DIEM SCHOOLS,,,,,,,,,,,,209.74,237.8,,,,
15,BEXAR COUNTY,15838,COMPASS ROSE PUBLIC SCHOOLS,,,,,,,,,,,,,,89.99,175.8,316.62,1036.109
15,BEXAR COUNTY,15839,PROMESA ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,,,,,171.395
15,BEXAR COUNTY,15840,SAN ANTONIO PREPARATORY SCHOOLS,,,,,,,,,,,,,,,,,189.387
15,BEXAR COUNTY,15841,THE GATHERING PLACE,,,,,,,,,,,,,,,,,325.327
15,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,4161.37,4273.2,4270.88,4319.02,4352.76,4456.45,4483.22,4528.25,4557.84,4557.15,4529.23,4588.66,4616.58,4556.24,4622.32,4592.28,4608.647
15,BEXAR COUNTY,15904,HARLANDALE ISD,13042.85,13135.35,12975.67,12953.63,13117.2,13175.86,13442.19,13549.26,13735.13,13921.12,13782.02,13589.12,13367.16,12883.75,12476.04,11558.33,10139.723
15,BEXAR COUNTY,15905,EDGEWOOD ISD,11306.92,10946.23,10814.19,10532.62,10487.99,10828.85,10628.09,10585.43,10618.41,10640.12,10625.8,9940.37,9482.43,8956.28,8831.14,7895.49,8090.808
15,BEXAR COUNTY,15906,RANDOLPH FIELD ISD,1009.62,1014.18,1099.67,1101.76,1133.82,1137.13,1123.09,1106.69,1135.68,1133.4,1236.12,1307.42,1368.05,1388.68,1406.94,1364.93,1373.381
15,BEXAR COUNTY,15907,SAN ANTONIO ISD,51196.47,50958.12,49961.28,49316.6,49035.28,48824.11,48842.05,48792.7,48769.51,48467.96,48294.03,47406.77,46430.85,44376.8,42746.81,39407.26,39178.885
15,BEXAR COUNTY,15908,SOUTH SAN ANTONIO ISD,8873.07,8810.44,8914.18,8934.06,9102.15,9076.09,8987.99,8944.09,8950.01,9122.78,9085.52,8988.74,8758.02,8197.26,7877.33,7085.64,7311.015
15,BEXAR COUNTY,15909,SOMERSET ISD,3126.24,3131.95,3176.93,3166.86,3170.0,3359.62,3409.2,3509.47,3518.61,3626.42,3625.65,3632.14,3703.43,3754.93,3744.51,3585.09,3629.82
15,BEXAR COUNTY,15910,NORTH EAST ISD,53842.92,55865.91,57306.54,58290.32,59744.44,61479.99,62697.77,63634.24,63932.9,64308.08,63844.45,63683.56,63166.49,61665.03,60584.84,58083.73,57794.561
15,BEXAR COUNTY,15911,EAST CENTRAL ISD,7314.57,7597.39,7891.01,8153.6,8340.04,8549.67,8764.8,8696.41,8864.94,8969.16,9027.86,9383.86,9375.36,9363.58,9173.84,8983.13,8508.877
15,BEXAR COUNTY,15912,SOUTHWEST ISD,9122.36,9362.04,9686.13,10092.3,10439.76,10631.87,11012.22,11495.49,11979.77,12322.27,12551.97,12660.03,12749.54,12651.37,12546.73,12044.12,12277.602
15,BEXAR COUNTY,15913,LACKLAND ISD,880.01,825.19,782.14,781.04,855.11,843.43,908.41,994.07,926.76,852.02,808.32,867.03,970.24,970.24,1005.31,963.45,970.437
15,BEXAR COUNTY,15914,FT SAM HOUSTON ISD,1129.05,1150.4,1267.25,1308.55,1304.35,1321.91,1299.52,1417.92,1459.44,1428.95,1379.52,1431.55,1452.71,1484.28,1476.44,1419.88,1411.861
15,BEXAR COUNTY,15915,NORTHSIDE ISD,69454.18,73362.7,76413.09,79720.81,82443.79,85277.44,88580.58,91223.49,93064.65,95202.71,96475.44,97952.07,98688.43,98628.29,98226.71,96342.96,96670.577
15,BEXAR COUNTY,15916,JUDSON ISD,17039.03,18034.6,18869.11,19410.83,19877.55,20252.45,20566.52,20782.27,20988.52,21390.58,21716.41,21522.12,21315.14,21390.52,21251.85,21190.78,21812.255
15,BEXAR COUNTY,15917,SOUTHSIDE ISD,4494.04,4507.31,4539.14,4644.9,4713.41,4775.59,4839.14,4732.45,4655.06,4703.19,4861.9,5110.55,5126.78,5134.94,5111.4,4968.86,5121.383
15,BEXAR COUNTY,15950,REG XX EDUCATION SERVICE CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,BLANCO COUNTY,16901,JOHNSON CITY ISD,655.44,651.0,659.77,659.47,667.12,651.22,675.72,689.6,683.83,671.25,660.8,665.64,661.61,631.45,623.65,607.64,584.787
16,BLANCO COUNTY,16902,BLANCO ISD,925.65,937.98,933.28,921.0,895.08,907.6,909.11,914.1,902.86,928.11,939.91,947.78,979.61,970.94,962.13,956.32,951.994
17,BORDEN COUNTY,17901,BORDEN COUNTY ISD,161.73,156.57,143.71,159.53,188.16,212.55,216.07,203.63,229.24,241.57,240.4,237.95,239.73,221.09,202.73,195.84,213.923
18,BOSQUE COUNTY,18901,CLIFTON ISD,1107.12,1125.45,1095.54,1111.17,1079.9,1067.54,1051.52,1040.08,949.44,966.23,950.85,924.3,954.6,939.87,951.22,930.26,960.409
18,BOSQUE COUNTY,18902,MERIDIAN ISD,489.76,504.37,490.75,494.39,496.53,486.79,490.75,505.5,484.41,488.77,466.32,453.52,454.06,453.57,441.91,392.26,388.124
18,BOSQUE COUNTY,18903,MORGAN ISD,157.73,152.7,130.57,111.37,102.92,119.38,112.01,98.32,95.51,105.14,99.38,120.1,114.35,118.72,111.54,114.28,125.262
18,BOSQUE COUNTY,18904,VALLEY MILLS ISD,584.56,587.41,571.76,553.18,567.44,587.83,593.96,609.28,573.17,569.81,576.68,568.31,586.27,599.99,598.2,581.29,565.126
18,BOSQUE COUNTY,18905,WALNUT SPRINGS ISD,232.91,225.48,192.05,192.48,187.07,196.91,179.25,179.66,175.54,159.74,158.0,172.06,170.41,162.5,174.55,162.76,116.86
18,BOSQUE COUNTY,18906,IREDELL ISD,133.56,135.32,130.35,124.62,114.88,126.34,126.05,124.02,126.86,127.53,131.1,127.98,132.41,128.12,131.14,141.63,134.201
18,BOSQUE COUNTY,18907,KOPPERL ISD,284.38,266.94,260.42,252.87,245.75,231.12,229.23,227.71,217.4,205.92,208.74,201.79,194.43,200.14,185.51,160.63,161.889
18,BOSQUE COUNTY,18908,CRANFILLS GAP ISD,96.68,93.59,96.81,92.55,83.39,99.41,106.0,108.68,115.89,107.87,114.93,118.02,124.14,121.96,124.04,119.81,121.182
19,BOWIE COUNTY,19000,BOWIE COUNTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,BOWIE COUNTY,19802,EAGLE ACADEMY OF TEXARKANA,0.0,,0.0,,,,,,,,,,,,,,
19,BOWIE COUNTY,19901,DEKALB ISD,838.97,812.21,775.26,729.69,762.08,737.31,744.46,754.77,725.16,723.86,736.31,740.62,741.63,734.47,713.65,708.81,697.078
19,BOWIE COUNTY,19902,HOOKS ISD,1003.98,981.19,966.4,968.88,974.6,942.93,879.94,831.08,829.59,827.96,803.65,828.61,863.4,889.41,864.17,812.73,776.397
19,BOWIE COUNTY,19903,MAUD ISD,438.04,442.66,445.18,451.29,462.47,478.51,476.49,474.56,444.14,447.21,434.31,443.62,442.15,438.5,433.18,433.7,432.001
19,BOWIE COUNTY,19905,NEW BOSTON ISD,1282.79,1304.88,1358.63,1327.92,1295.87,1298.93,1287.57,1231.31,1257.1,1270.35,1225.29,1245.23,1238.36,1202.27,1143.79,1082.02,1063.062
19,BOWIE COUNTY,19906,REDWATER ISD,1078.98,1066.76,1067.26,1065.6,1035.62,1010.3,1040.95,1067.15,1081.36,1058.88,1062.02,1064.84,1043.72,1026.9,1047.49,1019.8,1028.473
19,BOWIE COUNTY,19907,TEXARKANA ISD,5334.52,5432.09,5510.11,5810.62,6019.37,6200.27,6324.44,6414.3,6458.98,6550.07,6480.58,6357.66,6423.54,6445.45,6410.0,7586.55,6711.458
19,BOWIE COUNTY,19908,LIBERTY-EYLAU ISD,2544.29,2584.08,2567.03,2509.3,2492.27,2543.61,2540.25,2499.35,2466.76,2381.95,2328.02,2362.81,2285.23,2247.12,2198.05,2055.17,2032.506
19,BOWIE COUNTY,19909,SIMMS ISD,568.32,551.06,574.75,554.0,577.18,558.42,499.26,505.57,468.48,472.8,463.4,466.45,457.61,457.34,482.77,442.73,444.516
19,BOWIE COUNTY,19910,MALTA ISD,126.88,116.24,110.65,105.78,94.26,97.12,115.72,130.39,122.62,122.94,116.04,103.98,127.76,141.3,168.3,180.32,196.29
19,BOWIE COUNTY,19911,RED LICK ISD,381.96,382.59,378.98,385.72,418.98,414.38,450.23,467.48,500.5,474.14,506.78,497.32,492.18,500.19,487.02,499.72,485.552
19,BOWIE COUNTY,19912,PLEASANT GROVE ISD,1888.45,1912.03,1858.23,1800.93,1824.76,1841.48,1812.77,1814.69,1901.37,1913.04,1978.75,2011.37,1994.73,1991.4,2018.66,2057.25,2088.361
19,BOWIE COUNTY,19913,HUBBARD ISD,72.56,82.66,88.96,107.28,104.26,107.13,89.92,82.47,85.99,88.46,75.88,76.51,74.56,78.89,83.72,91.95,90.945
19,BOWIE COUNTY,19914,LEARY ISD,96.63,103.56,122.46,117.07,105.4,106.35,103.9,101.16,92.48,94.28,104.6,105.28,94.92,86.2,93.84,103.55,113.143
20,BRAZORIA COUNTY,20901,ALVIN ISD,11607.35,12294.74,13247.07,14151.93,14926.6,15478.25,16076.95,16867.2,17635.67,18550.89,19589.01,20816.67,22189.09,23192.4,24338.85,25045.65,25903.179
