feature,method,model,score,score_type,selected,Method
Total Schools Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Students Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Operational Schools Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Title 1 School-wide Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Title 1 Eligible Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Teachers:Students Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Staff:Students Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Free Lunch Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Reduced-price Lunch Diff,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% Asian Diff,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% Hispanic Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black Diff,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% White Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 1-8 Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 9-12 Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Prek Diff,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% Kinder Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% ADA Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Tested Math G3 Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Tested Math G4 Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Tested Math G5 Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Tested Math G6 Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Tested Math G7 Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Tested Math G8 Diff,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Locale_11-City: Large,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_12-City: Mid-size,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_13-City: Small,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_21-Suburb: Large,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_22-Suburb: Mid-size,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_23-Suburb: Small,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_31-Town: Fringe,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_32-Town: Distant,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_33-Town: Remote,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_41-Rural: Fringe,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_42-Rural: Distant,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Locale_43-Rural: Remote,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
# of Families 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
# of Households 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
# of Housing Units 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% ADA Diff,Regularization,Lasso,0.10127290884961325,N/A,1,Regularization - Lasso
% Age 0-4 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 10-14 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 15-19 Pop 10,Regularization,Lasso,-0.004314803187298083,N/A,1,Regularization - Lasso
% Age 20-24 Pop 10,Regularization,Lasso,0.04254020816476298,N/A,1,Regularization - Lasso
% Age 25-34 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 35-44 Pop 10,Regularization,Lasso,0.032677264016546796,N/A,1,Regularization - Lasso
% Age 45-54 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 5-9 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 55-64 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 65-74 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 75-84 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 85-Up Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Asian Diff,Regularization,Lasso,-0.06326626993330389,N/A,1,Regularization - Lasso
% Asian Pop 10,Regularization,Lasso,-0.10813163993421891,N/A,1,Regularization - Lasso
% Black Diff,Regularization,Lasso,-0.015169551361057666,N/A,1,Regularization - Lasso
% Black Pop 10,Regularization,Lasso,-0.009815163317257083,N/A,1,Regularization - Lasso
% County Deaths 01/29/21,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% County Deaths 09/28/20,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% County Deaths 10/30/20,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% County Infected 01/29/21,Regularization,Lasso,-0.0212507853153044,N/A,1,Regularization - Lasso
% County Infected 09/28/20,Regularization,Lasso,-0.007074329646472935,N/A,1,Regularization - Lasso
% County Infected 10/30/20,Regularization,Lasso,0.027702416606624064,N/A,1,Regularization - Lasso
% Female Pop 10,Regularization,Lasso,-0.0015336742511164213,N/A,1,Regularization - Lasso
% Free Lunch Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Grades 1-8 Diff,Regularization,Lasso,-0.016472122701031586,N/A,1,Regularization - Lasso
% Grades 9-12 Diff,Regularization,Lasso,-0.037723655932879706,N/A,1,Regularization - Lasso
% HH 1 Female 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% HH 1 Male 10,Regularization,Lasso,-0.007303834380902986,N/A,1,Regularization - Lasso
% HH Female-Child 10,Regularization,Lasso,-0.04952335879408671,N/A,1,Regularization - Lasso
% HH Male-Child 10,Regularization,Lasso,0.040012154110557266,N/A,1,Regularization - Lasso
% HH Married-Child 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% HH Married-noChild 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Hispanic Diff,Regularization,Lasso,0.031711744998819645,N/A,1,Regularization - Lasso
% Hispanic Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Housing Owner Occup 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Housing Renter Occup 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Housing Vacant 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Kinder Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Male Pop 10,Regularization,Lasso,0.0013978060156616568,N/A,1,Regularization - Lasso
% On Campus 01/29/21,Regularization,Lasso,-0.06992161691392418,N/A,1,Regularization - Lasso
% On Campus 09/28/20,Regularization,Lasso,0.24680641866591863,N/A,1,Regularization - Lasso
% On Campus 10/30/20,Regularization,Lasso,-0.1761044844245953,N/A,1,Regularization - Lasso
% Operational Schools Diff,Regularization,Lasso,-0.0038425477477208037,N/A,1,Regularization - Lasso
% Prek Diff,Regularization,Lasso,0.009371303058011371,N/A,1,Regularization - Lasso
% Reduced-price Lunch Diff,Regularization,Lasso,-0.001228215301191618,N/A,1,Regularization - Lasso
% Tested Math G3 Diff,Regularization,Lasso,0.013729148564400797,N/A,1,Regularization - Lasso
% Tested Math G4 Diff,Regularization,Lasso,-0.04346565893637622,N/A,1,Regularization - Lasso
% Tested Math G5 Diff,Regularization,Lasso,0.11096655582747343,N/A,1,Regularization - Lasso
% Tested Math G6 Diff,Regularization,Lasso,-0.07451681149027757,N/A,1,Regularization - Lasso
% Tested Math G7 Diff,Regularization,Lasso,0.013752840461105156,N/A,1,Regularization - Lasso
% Tested Math G8 Diff,Regularization,Lasso,0.006437158466268392,N/A,1,Regularization - Lasso
% Title 1 Eligible Diff,Regularization,Lasso,-0.0382555492838988,N/A,1,Regularization - Lasso
% Title 1 School-wide Diff,Regularization,Lasso,-0.017541886983931845,N/A,1,Regularization - Lasso
% White Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% White Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
ARP ESSER III 21,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Avg Family Size 10,Regularization,Lasso,-0.038007953485773065,N/A,1,Regularization - Lasso
Avg Household Size 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
CARES ESSER I 20,Regularization,Lasso,0.027414880654192134,N/A,1,Regularization - Lasso
CRRSA ESSER II 21,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
County Population,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
ESSER-SUPP 22,Regularization,Lasso,0.06537442325607508,N/A,1,Regularization - Lasso
ESSER-SUPP 23,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Employed Diff,Regularization,Lasso,0.0634895682165168,N/A,1,Regularization - Lasso
Labor Force Diff,Regularization,Lasso,-0.09558058059648292,N/A,1,Regularization - Lasso
Locale_11-City: Large,Regularization,Lasso,-0.027225074033831245,N/A,1,Regularization - Lasso
Locale_12-City: Mid-size,Regularization,Lasso,-0.01456479276782035,N/A,1,Regularization - Lasso
Locale_13-City: Small,Regularization,Lasso,-0.02959261155397426,N/A,1,Regularization - Lasso
Locale_21-Suburb: Large,Regularization,Lasso,-0.11712820389489836,N/A,1,Regularization - Lasso
Locale_22-Suburb: Mid-size,Regularization,Lasso,0.042275523809475274,N/A,1,Regularization - Lasso
Locale_23-Suburb: Small,Regularization,Lasso,0.05592388173788938,N/A,1,Regularization - Lasso
Locale_31-Town: Fringe,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Locale_32-Town: Distant,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Locale_33-Town: Remote,Regularization,Lasso,-0.04465077710240255,N/A,1,Regularization - Lasso
Locale_41-Rural: Fringe,Regularization,Lasso,-0.012922176667112518,N/A,1,Regularization - Lasso
Locale_42-Rural: Distant,Regularization,Lasso,-0.09126803242032776,N/A,1,Regularization - Lasso
Locale_43-Rural: Remote,Regularization,Lasso,-0.07683759393262363,N/A,1,Regularization - Lasso
Median Age 10,Regularization,Lasso,0.04049388187896119,N/A,1,Regularization - Lasso
Median Age Female 10,Regularization,Lasso,0.06930138395685352,N/A,1,Regularization - Lasso
Median Age Male 10,Regularization,Lasso,0.02984992092920205,N/A,1,Regularization - Lasso
Staff:Students Diff,Regularization,Lasso,0.024961613365127415,N/A,1,Regularization - Lasso
Teachers:Students Diff,Regularization,Lasso,-0.002338295311402519,N/A,1,Regularization - Lasso
Total Schools Diff,Regularization,Lasso,-0.005932337650787431,N/A,1,Regularization - Lasso
Total Students Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Unemployed Level Diff,Regularization,Lasso,-0.034368790271815365,N/A,1,Regularization - Lasso
Unemployed Rate Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Labor Force Diff,Feature Importance,Random Forest,0.009035348850641575,importances,1,Feature Importance - Random Forest
Employed Diff,Feature Importance,Random Forest,0.008077493251652728,importances,0,Feature Importance - Random Forest
Unemployed Level Diff,Feature Importance,Random Forest,0.007706714152110336,importances,0,Feature Importance - Random Forest
Unemployed Rate Diff,Feature Importance,Random Forest,0.008064662803992184,importances,0,Feature Importance - Random Forest
Median Age 10,Feature Importance,Random Forest,0.0103948265885733,importances,1,Feature Importance - Random Forest
Median Age Male 10,Feature Importance,Random Forest,0.015088197254959001,importances,1,Feature Importance - Random Forest
Median Age Female 10,Feature Importance,Random Forest,0.0122128141590951,importances,1,Feature Importance - Random Forest
# of Households 10,Feature Importance,Random Forest,0.009528443591570986,importances,1,Feature Importance - Random Forest
Avg Household Size 10,Feature Importance,Random Forest,0.012647344550124047,importances,1,Feature Importance - Random Forest
# of Families 10,Feature Importance,Random Forest,0.010319443417485247,importances,1,Feature Importance - Random Forest
Avg Family Size 10,Feature Importance,Random Forest,0.014403873203108177,importances,1,Feature Importance - Random Forest
# of Housing Units 10,Feature Importance,Random Forest,0.009179773993110867,importances,1,Feature Importance - Random Forest
County Population,Feature Importance,Random Forest,0.011618255084575656,importances,1,Feature Importance - Random Forest
CARES ESSER I 20,Feature Importance,Random Forest,0.018931605431272255,importances,1,Feature Importance - Random Forest
CRRSA ESSER II 21,Feature Importance,Random Forest,0.019074739629629932,importances,1,Feature Importance - Random Forest
ARP ESSER III 21,Feature Importance,Random Forest,0.01609707783104569,importances,1,Feature Importance - Random Forest
ESSER-SUPP 22,Feature Importance,Random Forest,0.002599579863503841,importances,0,Feature Importance - Random Forest
ESSER-SUPP 23,Feature Importance,Random Forest,0.0023837505414519614,importances,0,Feature Importance - Random Forest
% County Infected 09/28/20,Feature Importance,Random Forest,0.008996935724867787,importances,1,Feature Importance - Random Forest
% County Deaths 09/28/20,Feature Importance,Random Forest,0.006462465670115905,importances,0,Feature Importance - Random Forest
% County Infected 10/30/20,Feature Importance,Random Forest,0.009790978652531663,importances,1,Feature Importance - Random Forest
% County Deaths 10/30/20,Feature Importance,Random Forest,0.007837638033126754,importances,0,Feature Importance - Random Forest
% County Infected 01/29/21,Feature Importance,Random Forest,0.009280643356332809,importances,1,Feature Importance - Random Forest
% County Deaths 01/29/21,Feature Importance,Random Forest,0.008920488018283525,importances,0,Feature Importance - Random Forest
% On Campus 09/28/20,Feature Importance,Random Forest,0.04270145040459204,importances,1,Feature Importance - Random Forest
% On Campus 10/30/20,Feature Importance,Random Forest,0.04384746426086782,importances,1,Feature Importance - Random Forest
% On Campus 01/29/21,Feature Importance,Random Forest,0.03615873126132474,importances,1,Feature Importance - Random Forest
% White Pop 10,Feature Importance,Random Forest,0.010116479227210822,importances,1,Feature Importance - Random Forest
% Black Pop 10,Feature Importance,Random Forest,0.009395106119201264,importances,1,Feature Importance - Random Forest
% Asian Pop 10,Feature Importance,Random Forest,0.007610929396990194,importances,0,Feature Importance - Random Forest
% Hispanic Pop 10,Feature Importance,Random Forest,0.009106026416010524,importances,1,Feature Importance - Random Forest
% Male Pop 10,Feature Importance,Random Forest,0.008793244028107963,importances,0,Feature Importance - Random Forest
% Female Pop 10,Feature Importance,Random Forest,0.006833934039120801,importances,0,Feature Importance - Random Forest
% Age 0-4 Pop 10,Feature Importance,Random Forest,0.010038152834873271,importances,1,Feature Importance - Random Forest
% Age 5-9 Pop 10,Feature Importance,Random Forest,0.007668625261046141,importances,0,Feature Importance - Random Forest
% Age 10-14 Pop 10,Feature Importance,Random Forest,0.008330194547714147,importances,0,Feature Importance - Random Forest
% Age 15-19 Pop 10,Feature Importance,Random Forest,0.007838754528981622,importances,0,Feature Importance - Random Forest
% Age 20-24 Pop 10,Feature Importance,Random Forest,0.007087498628905976,importances,0,Feature Importance - Random Forest
% Age 25-34 Pop 10,Feature Importance,Random Forest,0.006975295963766025,importances,0,Feature Importance - Random Forest
% Age 35-44 Pop 10,Feature Importance,Random Forest,0.006250002972171074,importances,0,Feature Importance - Random Forest
% Age 45-54 Pop 10,Feature Importance,Random Forest,0.008530017596030094,importances,0,Feature Importance - Random Forest
% Age 55-64 Pop 10,Feature Importance,Random Forest,0.007307430492640644,importances,0,Feature Importance - Random Forest
% Age 65-74 Pop 10,Feature Importance,Random Forest,0.009445511774288505,importances,1,Feature Importance - Random Forest
% Age 75-84 Pop 10,Feature Importance,Random Forest,0.007666105744176177,importances,0,Feature Importance - Random Forest
% Age 85-Up Pop 10,Feature Importance,Random Forest,0.008505179493294665,importances,0,Feature Importance - Random Forest
% HH 1 Male 10,Feature Importance,Random Forest,0.007622251614804381,importances,0,Feature Importance - Random Forest
% HH 1 Female 10,Feature Importance,Random Forest,0.0070919896367126175,importances,0,Feature Importance - Random Forest
% HH Married-Child 10,Feature Importance,Random Forest,0.007604767998087142,importances,0,Feature Importance - Random Forest
% HH Married-noChild 10,Feature Importance,Random Forest,0.013167443637133175,importances,1,Feature Importance - Random Forest
% HH Male-Child 10,Feature Importance,Random Forest,0.007039491557027576,importances,0,Feature Importance - Random Forest
% HH Female-Child 10,Feature Importance,Random Forest,0.008241854873383563,importances,0,Feature Importance - Random Forest
% Housing Vacant 10,Feature Importance,Random Forest,0.008202656867408953,importances,0,Feature Importance - Random Forest
% Housing Owner Occup 10,Feature Importance,Random Forest,0.007842894619623203,importances,0,Feature Importance - Random Forest
% Housing Renter Occup 10,Feature Importance,Random Forest,0.007853840536476316,importances,0,Feature Importance - Random Forest
Total Schools Diff,Feature Importance,Random Forest,0.004638868238232879,importances,0,Feature Importance - Random Forest
Total Students Diff,Feature Importance,Random Forest,0.020310575257714722,importances,1,Feature Importance - Random Forest
% Operational Schools Diff,Feature Importance,Random Forest,0.004410324116142783,importances,0,Feature Importance - Random Forest
% Title 1 School-wide Diff,Feature Importance,Random Forest,0.004621939602685856,importances,0,Feature Importance - Random Forest
% Title 1 Eligible Diff,Feature Importance,Random Forest,0.005620045624435522,importances,0,Feature Importance - Random Forest
Teachers:Students Diff,Feature Importance,Random Forest,0.016857218334026213,importances,1,Feature Importance - Random Forest
Staff:Students Diff,Feature Importance,Random Forest,0.022300554675146946,importances,1,Feature Importance - Random Forest
% Free Lunch Diff,Feature Importance,Random Forest,0.015722692356911823,importances,1,Feature Importance - Random Forest
% Reduced-price Lunch Diff,Feature Importance,Random Forest,0.016336766115361074,importances,1,Feature Importance - Random Forest
% Asian Diff,Feature Importance,Random Forest,0.016168126502814052,importances,1,Feature Importance - Random Forest
% Hispanic Diff,Feature Importance,Random Forest,0.017541394161477535,importances,1,Feature Importance - Random Forest
% Black Diff,Feature Importance,Random Forest,0.015136017448643513,importances,1,Feature Importance - Random Forest
% White Diff,Feature Importance,Random Forest,0.018648404043932577,importances,1,Feature Importance - Random Forest
% Grades 1-8 Diff,Feature Importance,Random Forest,0.01646572389082484,importances,1,Feature Importance - Random Forest
% Grades 9-12 Diff,Feature Importance,Random Forest,0.014777642175720425,importances,1,Feature Importance - Random Forest
% Prek Diff,Feature Importance,Random Forest,0.018515223373396686,importances,1,Feature Importance - Random Forest
% Kinder Diff,Feature Importance,Random Forest,0.015227035218287872,importances,1,Feature Importance - Random Forest
% ADA Diff,Feature Importance,Random Forest,0.021501838984211895,importances,1,Feature Importance - Random Forest
% Tested Math G3 Diff,Feature Importance,Random Forest,0.019121468030049174,importances,1,Feature Importance - Random Forest
% Tested Math G4 Diff,Feature Importance,Random Forest,0.021099628777329908,importances,1,Feature Importance - Random Forest
% Tested Math G5 Diff,Feature Importance,Random Forest,0.02647336905336994,importances,1,Feature Importance - Random Forest
% Tested Math G6 Diff,Feature Importance,Random Forest,0.02192698226016712,importances,1,Feature Importance - Random Forest
% Tested Math G7 Diff,Feature Importance,Random Forest,0.02108167951247909,importances,1,Feature Importance - Random Forest
% Tested Math G8 Diff,Feature Importance,Random Forest,0.020610508676468155,importances,1,Feature Importance - Random Forest
Locale_11-City: Large,Feature Importance,Random Forest,0.002188205143576408,importances,0,Feature Importance - Random Forest
Locale_12-City: Mid-size,Feature Importance,Random Forest,0.00035860710747089643,importances,0,Feature Importance - Random Forest
Locale_13-City: Small,Feature Importance,Random Forest,0.0003423361894716427,importances,0,Feature Importance - Random Forest
Locale_21-Suburb: Large,Feature Importance,Random Forest,0.0005979478204333153,importances,0,Feature Importance - Random Forest
Locale_22-Suburb: Mid-size,Feature Importance,Random Forest,0.00010474699562310095,importances,0,Feature Importance - Random Forest
Locale_23-Suburb: Small,Feature Importance,Random Forest,0.0,importances,0,Feature Importance - Random Forest
Locale_31-Town: Fringe,Feature Importance,Random Forest,0.0007483789755351114,importances,0,Feature Importance - Random Forest
Locale_32-Town: Distant,Feature Importance,Random Forest,0.0015904564439616206,importances,0,Feature Importance - Random Forest
Locale_33-Town: Remote,Feature Importance,Random Forest,0.0003356699124188756,importances,0,Feature Importance - Random Forest
Locale_41-Rural: Fringe,Feature Importance,Random Forest,0.0019132401455474672,importances,0,Feature Importance - Random Forest
Locale_42-Rural: Distant,Feature Importance,Random Forest,0.0016342302752128232,importances,0,Feature Importance - Random Forest
Locale_43-Rural: Remote,Feature Importance,Random Forest,0.0015457345757854187,importances,0,Feature Importance - Random Forest
Labor Force Diff,Permutation Importance,Random Forest,0.007329842931937169,importances_mean,1,Permutation Importance - Random Forest
Employed Diff,Permutation Importance,Random Forest,0.009424083769633485,importances_mean,1,Permutation Importance - Random Forest
Unemployed Level Diff,Permutation Importance,Random Forest,0.00523560209424081,importances_mean,1,Permutation Importance - Random Forest
Unemployed Rate Diff,Permutation Importance,Random Forest,0.003141361256544473,importances_mean,1,Permutation Importance - Random Forest
Median Age 10,Permutation Importance,Random Forest,0.00418848167539263,importances_mean,1,Permutation Importance - Random Forest
Median Age Male 10,Permutation Importance,Random Forest,0.00418848167539263,importances_mean,1,Permutation Importance - Random Forest
Median Age Female 10,Permutation Importance,Random Forest,0.008376963350785327,importances_mean,1,Permutation Importance - Random Forest
# of Households 10,Permutation Importance,Random Forest,0.004188481675392652,importances_mean,1,Permutation Importance - Random Forest
Avg Household Size 10,Permutation Importance,Random Forest,0.007329842931937147,importances_mean,1,Permutation Importance - Random Forest
# of Families 10,Permutation Importance,Random Forest,0.008376963350785327,importances_mean,1,Permutation Importance - Random Forest
Avg Family Size 10,Permutation Importance,Random Forest,0.004188481675392652,importances_mean,1,Permutation Importance - Random Forest
# of Housing Units 10,Permutation Importance,Random Forest,0.004188481675392652,importances_mean,1,Permutation Importance - Random Forest
County Population,Permutation Importance,Random Forest,0.006282722513088967,importances_mean,1,Permutation Importance - Random Forest
CARES ESSER I 20,Permutation Importance,Random Forest,0.00523560209424081,importances_mean,1,Permutation Importance - Random Forest
CRRSA ESSER II 21,Permutation Importance,Random Forest,0.00628272251308899,importances_mean,1,Permutation Importance - Random Forest
ARP ESSER III 21,Permutation Importance,Random Forest,0.01780104712041881,importances_mean,1,Permutation Importance - Random Forest
ESSER-SUPP 22,Permutation Importance,Random Forest,0.0010471204188481575,importances_mean,1,Permutation Importance - Random Forest
ESSER-SUPP 23,Permutation Importance,Random Forest,0.0010471204188481575,importances_mean,1,Permutation Importance - Random Forest
% County Infected 09/28/20,Permutation Importance,Random Forest,0.013612565445026138,importances_mean,1,Permutation Importance - Random Forest
% County Deaths 09/28/20,Permutation Importance,Random Forest,0.0010471204188481575,importances_mean,1,Permutation Importance - Random Forest
% County Infected 10/30/20,Permutation Importance,Random Forest,0.007329842931937147,importances_mean,1,Permutation Importance - Random Forest
% County Deaths 10/30/20,Permutation Importance,Random Forest,0.00628272251308899,importances_mean,1,Permutation Importance - Random Forest
% County Infected 01/29/21,Permutation Importance,Random Forest,0.006282722513088967,importances_mean,1,Permutation Importance - Random Forest
% County Deaths 01/29/21,Permutation Importance,Random Forest,-2.2204460492503132e-17,importances_mean,0,Permutation Importance - Random Forest
% On Campus 09/28/20,Permutation Importance,Random Forest,0.00418848167539263,importances_mean,1,Permutation Importance - Random Forest
% On Campus 10/30/20,Permutation Importance,Random Forest,0.004188481675392652,importances_mean,1,Permutation Importance - Random Forest
% On Campus 01/29/21,Permutation Importance,Random Forest,-0.003141361256544517,importances_mean,0,Permutation Importance - Random Forest
